cliente,edad,flag_visita_unica,indicador_frecuencia_find_semana,indicador_frecuencia_semana,indicador_genero_mas_visto,incidencia_personal_dulceria,Numero_entradas_compradas_moda,TP_boleteria,indicador_nro_visitas_mes,indicador_estreno,indicador_promocion_especiales,indicador_promocion_nino,indicador_upselling_combo,canal_venta_preferido,indicador_cliente_prime,indicador_cliente_xtreme,total_dulceria,total_boleteria,canti_visitas_periodo,tp_cliente_dulceria,PROMEDIO_ENTRADAS_COMPRADAS,Nro_entradas_totales_comprada,TP_dul_por_entrada
1,22,0,0.3333,0.6667,Terror,0.67,4,15.1667,1,0.3333,0.5,0.3333,0.5,Complejos,0,0,50.5,91,3,25.25,2,12,4.21
2,46,0,0.2,0.8,Comedia,0.8,4,25.75,1,0.6,0.5,0.2,0.4286,Complejos,0,0,275,206,5,39.2857,2.75,22,12.5
3,34,0,0.3333,0.6667,Comedia,0.33,6,45.25,0,0,0.7273,0,0,Complejos,0.25,0,40,181,3,40,2.75,11,3.64
4,24,1,0,1,Comedia,1,2,33,1,1,1,0,0.5,Complejos,0,0,67.5,33,1,33.75,2,2,33.75
5,18,1,0,1,Terror,0,2,29,1,1,1,0,0,Complejos,0,0,0,29,1,0,2,2,0
6,40,1,1,0,Accion,0,2,30,0,1,0,0,0,Tienda Web,0,0,0,30,1,0,2,2,0
7,23,0,0.3333,0.6667,Terror,0.33,2,31.1667,0,1,1,0,1,Complejos,0,0,52.5,93.5,3,52.5,2.3333,7,7.5
8,42,1,1,0,Accion,1,4,38,0,1,1,0,0.5,Complejos,0,0,63.5,38,1,31.75,4,4,15.88
9,27,0,0.2222,0.7778,Ciencia Ficcion,0.56,2,15.9048,4,0.7667,0.0513,0.0278,0.55,Tienda Web,0,0,450,668,36,22.5,1.8571,78,5.77
10,18,0,0.6,0.4,Accion,0.6,2,19.8125,0,0.8,0.6923,0,0.3333,Complejos,0,0,93.5,158.5,5,31.1667,1.625,13,7.19
11,54,0,0.6,0.4,Accion,0,2,25.0833,1,0.2,0.5625,0,0,Complejos,0,0,0,150.5,5,0,2.6667,16,0
12,34,1,1,0,Comedia,0,2,50,0,0,1,0,0,Complejos,0,0,0,50,1,0,2,2,0
13,23,1,0,1,Ciencia Ficcion,0,4,30,1,0,1,0,0,Complejos,0,0,0,30,1,0,4,4,0
14,28,1,0,1,Ciencia Ficcion,1,2,23,1,1,0,0,0,Tienda Web,0,0,54,23,1,27,2,2,27
15,23,0,0.4,0.6,Terror,0.4,2,25.0833,0,0.6,0.6923,0,0,Complejos,0,0,56.5,150.5,5,28.25,2.1667,13,4.35
16,29,0,0.3333,0.6667,Ciencia Ficcion,0.33,1,25,2,0.8333,0.2308,0.1667,0.25,Tienda Web,0,0,76,200,6,19,1.625,13,5.85
17,24,0,0.5,0.5,Terror,0.5,4,4.15,0,0,0.5,0,0,Complejos,0,0,27.5,24.9,2,27.5,1,6,4.58
18,25,0,0.1429,0.8571,Terror,0.43,2,14.3889,0,0.5,0,0,0,Tienda Web,0,0,58.5,129.5,7,19.5,1.7778,16,3.66
19,24,0,0.375,0.625,Accion,0.1,2,23.53,0,0.675,0.6943,0.0208,0.2857,Complejos,0,0,152,1764.75,48,21.7143,2.0933,157,0.97
20,46,1,0,1,Ciencia Ficcion,0,1,20,0,0,0,0,0,Tienda Web,0,0,0,20,1,0,1,1,0
21,44,0,0.0909,0.9091,Comedia,0.36,2,13.5357,0,0.3636,0.3478,0,0.6,Complejos,0,0,61,189.5,11,12.2,1.6429,23,2.65
22,35,1,0,1,Drama,1,2,18,0,1,1,0,1,Complejos,0,0,39.5,18,1,19.75,2,2,19.75
23,19,0,0.3333,0.6667,Ciencia Ficcion,0.33,2,20.2,0,0.3333,0.5714,0,0,Complejos,0,0,31,101,3,31,1.4,7,4.43
24,26,1,0,1,Terror,1,2,20,0,1,1,0,0,Complejos,0,0,64.5,20,1,32.25,2,2,32.25
25,36,0,0.3913,0.6087,Ciencia Ficcion,0.52,3,23.6452,0,0.3182,0.2121,0.0435,0.25,Complejos,0,0,211,733,23,17.5833,2.129,66,3.2
26,19,0,0.5,0.5,Drama,0.5,3,32.75,0,1,1,0,0,Complejos,0,0,30,65.5,2,30,2.5,5,6
27,30,1,0,1,Ciencia Ficcion,1,4,34,0,0,0,0,0,Complejos,0,0,19,34,1,19,4,4,4.75
28,29,0,0,1,Aventura,0.67,2,9.375,0,0.6667,0.3333,0,1,Complejos,0,0,16,37.5,3,8,1.5,6,2.67
29,24,0,0.75,0.25,Ciencia Ficcion,0.5,3,17.7,0,0.5,0.7273,0,0.5,Complejos,0,0,92,88.5,4,23,2.2,11,8.36
