ID,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,curso,alcohol
1,GP,F,18,U,GT3,A,higher education,higher education,at_home,teacher,course,mother,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,4,3,4,3,6,5,6,6,mat,No
2,GP,F,17,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,course,father,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,3,4,5,5,6,mat,No
3,GP,F,15,U,LE3,T,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,<15 min,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,3,10,7,8,10,mat,No
4,GP,F,15,U,GT3,T,higher education,5th to 9th grade,health,services,home,mother,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,5,2,15,14,15,mat,No
5,GP,F,16,U,GT3,T,secondary education,secondary education,other,other,home,father,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,5,4,6,10,10,mat,No
6,GP,M,16,U,LE3,T,higher education,secondary education,services,other,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,5,10,15,15,15,mat,No
7,GP,M,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,3,0,12,12,11,mat,No
8,GP,F,17,U,GT3,A,higher education,higher education,other,teacher,home,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,6,6,5,6,mat,No
9,GP,M,15,U,LE3,A,secondary education,5th to 9th grade,services,other,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,0,16,18,19,mat,No
10,GP,M,15,U,GT3,T,secondary education,higher education,other,other,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,5,0,14,15,15,mat,No
11,GP,F,15,U,GT3,T,higher education,higher education,teacher,health,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,2,0,10,8,9,mat,No
12,GP,F,15,U,GT3,T,5th to 9th grade,primary education (4th grade),services,other,reputation,father,30 min to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,4,4,10,12,12,mat,No
13,GP,M,15,U,LE3,T,higher education,higher education,health,services,course,father,<15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,5,2,14,14,14,mat,No
